ID,name,city,state,month,year,file_name,Notes
1,Sarah Morgan Dawson,Baton Rouge,LA,March,1862,Sarah-Morgan-Dawson-3-1862.txt,
2,Sarah Morgan Dawson,Baton Rouge,LA,April,1862,Sarah-Morgan-Dawson-4-1862.txt,
3,Sarah Morgan Dawson,"Baton Rouge,  Greenwell",LA,May,1862,Sarah-Morgan-Dawson-5-1862.txt,
4,Sarah Morgan Dawson,"Greenwell, Baton Rouge",LA,June,1862,Sarah-Morgan-Dawson-6-1862.txt,
5,Sarah Morgan Dawson,Baton Rouge,LA,July,1862,Sarah-Morgan-Dawson-7-1862.txt,
6,Sarah Morgan Dawson,"Baton Rouge, Westover, Randallson's Landing, Linwood, Clinton",LA,August,1862,Sarah-Morgan-Dawson-8-1862.txt,
7,Sarah Morgan Dawson,"Beech Grove, Clinton, Linwood",LA,September ,1862,Sarah-Morgan-Dawson-9-1862.txt,
8,Sarah Morgan Dawson,"Clinton, Linwood",LA,October,1862,Sarah-Morgan-Dawson-10-1862.txt,
9,Sarah Morgan Dawson,Linwood,LA,November,1862,Sarah-Morgan-Dawson-11-1862.txt,
10,Sarah Morgan Dawson,,LA,December,1862,Sarah-Morgan-Dawson-12-1862.txt,
11,Sarah Morgan Dawson,Linwood,LA,January,1863,Sarah-Morgan-Dawson-1-1863.txt,
12,Sarah Morgan Dawson,,LA,February,1863,Sarah-Morgan-Dawson-2-1863.txt,
13,Sarah Morgan Dawson,,LA,March,1863,Sarah-Morgan-Dawson-3-1863.txt,
14,Sarah Morgan Dawson,"Clinton, Madisonville, Bonfouca, New Orleans",LA,April,1863,Sarah-Morgan-Dawson-4-1863.txt,
15,Sarah Morgan Dawson,,LA,June,1863,Sarah-Morgan-Dawson-6-1863.txt,
16,Sarah Morgan Dawson,,LA,July,1863,Sarah-Morgan-Dawson-7-1863.txt,
17,Sarah Morgan Dawson,New Orleans,LA,August,1863,Sarah-Morgan-Dawson-8-1863.txt,
18,Sarah Morgan Dawson,,LA,September,1863,Sarah-Morgan-Dawson-9-1863.txt,
19,Sarah Morgan Dawson,,LA,October,1863,Sarah-Morgan-Dawson-10-1863.txt,
20,Sarah Morgan Dawson,,LA,November,1863,Sarah-Morgan-Dawson-11-1863.txt,
21,Sarah Morgan Dawson,,LA,December,1863,Sarah-Morgan-Dawson-12-1863.txt,
22,Sarah Morgan Dawson,,LA,February,1864,Sarah-Morgan-Dawson-2-1864.txt,
23,Sarah Morgan Dawson,,LA,March,1864,Sarah-Morgan-Dawson-3-1864.txt,
24,Sarah Morgan Dawson,,LA,November,1864,Sarah-Morgan-Dawson-11-1864.txt,
25,Sarah Morgan Dawson,Dauphine,LA,December,1864,Sarah-Morgan-Dawson-12-1864.txt,
26,Sarah Morgan Dawson,,LA,April,1865,Sarah-Morgan-Dawson-4-1865.txt,
28,Eliza Frances Andrews,,GA,December,1864,Eliza-Frances-Andrews-12-1864.txt,
29,Eliza Frances Andrews,,GA,January,1865,Eliza-Frances-Andrews-1-1865.txt,
30,Eliza Frances Andrews,,GA,February,1865,Eliza-Frances-Andrews-2-1865.txt,
31,Eliza Frances Andrews,,GA,March,1865,Eliza-Frances-Andrews-3-1865.txt,
32,Eliza Frances Andrews,,GA,April,1865,Eliza-Frances-Andrews-4-1865.txt,
34,Dolly Sumner Lunt,,GA,January,1864,Dolly-Sumner-Lunt-1-1864.txt,
35,Dolly Sumner Lunt,,GA,July,1864,Dolly-Sumner-Lunt-7-1864.txt,
36,Dolly Sumner Lunt,,GA,August,1864,Dolly-Sumner-Lunt-8-1864.txt,
37,Dolly Sumner Lunt,,GA,November,1864,Dolly-Sumner-Lunt-11-1864.txt,
38,Dolly Sumner Lunt,,GA,December,1864,Dolly-Sumner-Lunt-12-1864.txt,
40,Dolly Sumner Lunt,,GA,January ,1865,Dolly-Sumner-Lunt-1-1865.txt,
41,Dolly Sumner Lunt,,GA,April,1865,Dolly-Sumner-Lunt-4-1865.txt,
43,Mary Boykin Chesnut,"Charleston, Camden",SC,April,1861,Mary-Boykin-Chesnut-4-1861.txt,
44,Mary Boykin Chesnut,,SC,May,1861,Mary-Boykin-Chesnut-5-1861.txt,
